[2025-08-08T04:46:11.115Z] [ws_1754628371115] WEBSOCKET: Connection created to wss://api-gaming.blaze.bet.br/replication/?EIO=3&transport=websocket
[2025-08-08T04:46:11.511Z] [ws_1754628371115] RECEIVED: Raw payload (86 bytes)
[2025-08-08T04:46:11.521Z] [ws_1754628371115] RECEIVED: JSON Payload:
[2025-08-08T04:46:11.521Z] [ws_1754628371115] RECEIVED_DATA: 40
[2025-08-08T04:46:13.031Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:13.063Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:13.064Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:15.036Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:15.103Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:15.108Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:17.032Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:17.065Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:17.066Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:19.044Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:19.081Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:19.081Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:21.055Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:21.085Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:21.086Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:23.072Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:23.109Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:23.110Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:25.085Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:25.117Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:25.118Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:27.100Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:27.141Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:27.141Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:29.112Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:29.143Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:29.143Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:31.132Z] [ws_1754628371115] SENT: Raw payload (82 bytes)
[2025-08-08T04:46:31.170Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:31.171Z] [ws_1754628371115] RECEIVED: Raw payload (9 bytes)
[2025-08-08T04:46:33.128Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:33.161Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:33.162Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:35.132Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:35.165Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:35.166Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:36.504Z] [ws_1754628371115] SENT: JSON Payload:
[2025-08-08T04:46:36.505Z] [ws_1754628371115] SENT_DATA: 2
[2025-08-08T04:46:36.525Z] [ws_1754628371115] RECEIVED: JSON Payload:
[2025-08-08T04:46:36.525Z] [ws_1754628371115] RECEIVED_DATA: 3
[2025-08-08T04:46:37.134Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:37.166Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:37.167Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:39.143Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:39.176Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:39.177Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:41.156Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:41.196Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:41.196Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:43.160Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:43.196Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:43.197Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:45.165Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:45.196Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:45.197Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:47.174Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:47.248Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:47.248Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:49.189Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:49.223Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:49.226Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:51.187Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:51.220Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:51.220Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:53.191Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:53.232Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:53.233Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:55.197Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:55.234Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:55.235Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:57.206Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:57.238Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:57.238Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:46:59.217Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:46:59.249Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:46:59.250Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:01.224Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:01.256Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:01.257Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:01.540Z] [ws_1754628371115] SENT: JSON Payload:
[2025-08-08T04:47:01.541Z] [ws_1754628371115] SENT_DATA: 2
[2025-08-08T04:47:01.563Z] [ws_1754628371115] RECEIVED: JSON Payload:
[2025-08-08T04:47:01.564Z] [ws_1754628371115] RECEIVED_DATA: 3
[2025-08-08T04:47:03.236Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:03.284Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:03.284Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:05.241Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:05.274Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:05.275Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:07.256Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:07.302Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:07.303Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:09.268Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:09.306Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:09.307Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:11.265Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:11.301Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:11.302Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:13.283Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:13.321Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:13.322Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:15.277Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:15.319Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:15.320Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:17.283Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:17.328Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:17.329Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:19.286Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:19.318Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:19.318Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:21.297Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:21.334Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:21.335Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:23.307Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:23.343Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:23.344Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:25.311Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:25.342Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:25.343Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:26.577Z] [ws_1754628371115] SENT: JSON Payload:
[2025-08-08T04:47:26.577Z] [ws_1754628371115] SENT_DATA: 2
[2025-08-08T04:47:26.597Z] [ws_1754628371115] RECEIVED: JSON Payload:
[2025-08-08T04:47:26.597Z] [ws_1754628371115] RECEIVED_DATA: 3
[2025-08-08T04:47:27.325Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:27.359Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:27.359Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:29.331Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:29.364Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:29.365Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:31.336Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:31.374Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:31.375Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:33.345Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:33.376Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:33.377Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:35.349Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:35.385Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:35.385Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:37.351Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:37.386Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:37.386Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:39.366Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:39.402Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:39.403Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:41.373Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:41.403Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:41.404Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:43.381Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:43.415Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:43.415Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:45.391Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:45.421Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:45.422Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:47.404Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:47.436Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:47.437Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:49.401Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:49.447Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:49.448Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:51.416Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:51.448Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:51.448Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:51.608Z] [ws_1754628371115] SENT: JSON Payload:
[2025-08-08T04:47:51.608Z] [ws_1754628371115] SENT_DATA: 2
[2025-08-08T04:47:51.627Z] [ws_1754628371115] RECEIVED: JSON Payload:
[2025-08-08T04:47:51.628Z] [ws_1754628371115] RECEIVED_DATA: 3
[2025-08-08T04:47:53.426Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:53.456Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:53.456Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:55.439Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:55.469Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:55.470Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:57.446Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:57.479Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:57.480Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:47:59.453Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:47:59.484Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:47:59.485Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:48:01.454Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:48:01.486Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:48:01.486Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:48:03.463Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:48:03.495Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:48:03.495Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:48:05.469Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:48:05.499Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:48:05.499Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
[2025-08-08T04:48:07.474Z] [ws_1754628371115] SENT: Raw payload (83 bytes)
[2025-08-08T04:48:07.517Z] [ws_1754628371115] RECEIVED: Raw payload (118 bytes)
[2025-08-08T04:48:07.518Z] [ws_1754628371115] RECEIVED: Raw payload (10 bytes)
