[2025-08-08T04:46:12.643Z] [ws_1754628372643] WEBSOCKET: Connection created to wss://widget-mediator.zopim.com/s/W/ws/D7o3APCo2PRm6lhu/c/1754628372641
[2025-08-08T04:46:12.820Z] [ws_1754628372643] SENT: Raw payload (545 bytes)
[2025-08-08T04:46:12.821Z] [ws_1754628372643] RECEIVED: Raw payload (30 bytes)
[2025-08-08T04:46:12.874Z] [ws_1754628372643] RECEIVED: Raw payload (322 bytes)
[2025-08-08T04:46:12.922Z] [ws_1754628372643] RECEIVED: Raw payload (4230 bytes)
[2025-08-08T04:46:14.120Z] [ws_1754628372643] RECEIVED: Raw payload (2364 bytes)
[2025-08-08T04:46:14.121Z] [ws_1754628372643] SENT: Raw payload (192 bytes)
[2025-08-08T04:46:29.126Z] [ws_1754628372643] SENT: Raw payload (44 bytes)
[2025-08-08T04:46:44.131Z] [ws_1754628372643] SENT: Raw payload (44 bytes)
[2025-08-08T04:46:59.142Z] [ws_1754628372643] SENT: Raw payload (44 bytes)
[2025-08-08T04:47:14.086Z] [ws_1754628372643] RECEIVED: Raw payload (29 bytes)
[2025-08-08T04:47:14.148Z] [ws_1754628372643] SENT: Raw payload (44 bytes)
[2025-08-08T04:47:29.157Z] [ws_1754628372643] SENT: Raw payload (44 bytes)
[2025-08-08T04:47:44.169Z] [ws_1754628372643] SENT: Raw payload (44 bytes)
[2025-08-08T04:47:59.180Z] [ws_1754628372643] SENT: Raw payload (44 bytes)
