[2025-08-08T04:46:12.654Z] [ws_1754628372653] WEBSOCKET: Connection created to wss://widget-mediator.zopim.com/s/W/ws/gZ-wHQiS1tGSZv2t/c/1754628372653
[2025-08-08T04:46:12.944Z] [ws_1754628372653] SENT: Raw payload (545 bytes)
[2025-08-08T04:46:12.945Z] [ws_1754628372653] RECEIVED: Raw payload (30 bytes)
[2025-08-08T04:46:12.995Z] [ws_1754628372653] RECEIVED: Raw payload (322 bytes)
[2025-08-08T04:46:13.048Z] [ws_1754628372653] RECEIVED: Raw payload (4230 bytes)
[2025-08-08T04:46:13.886Z] [ws_1754628372653] RECEIVED: Raw payload (2363 bytes)
[2025-08-08T04:46:13.887Z] [ws_1754628372653] SENT: Raw payload (192 bytes)
[2025-08-08T04:46:28.892Z] [ws_1754628372653] SENT: Raw payload (44 bytes)
[2025-08-08T04:46:43.896Z] [ws_1754628372653] SENT: Raw payload (44 bytes)
[2025-08-08T04:46:58.912Z] [ws_1754628372653] SENT: Raw payload (44 bytes)
[2025-08-08T04:47:13.855Z] [ws_1754628372653] RECEIVED: Raw payload (29 bytes)
[2025-08-08T04:47:13.930Z] [ws_1754628372653] SENT: Raw payload (44 bytes)
[2025-08-08T04:47:28.939Z] [ws_1754628372653] SENT: Raw payload (44 bytes)
[2025-08-08T04:47:43.952Z] [ws_1754628372653] SENT: Raw payload (44 bytes)
[2025-08-08T04:47:58.965Z] [ws_1754628372653] SENT: Raw payload (44 bytes)
