[2025-08-08T04:53:29.392Z] [ws_1754628809392] WEBSOCKET: Connection created to wss://widget-mediator.zopim.com/s/W/ws/UxdP+1URVYDHfZOv/c/1754628809390
[2025-08-08T04:53:29.588Z] [ws_1754628809392] SENT: Raw payload (545 bytes)
[2025-08-08T04:53:29.588Z] [ws_1754628809392] RECEIVED: Raw payload (30 bytes)
[2025-08-08T04:53:29.639Z] [ws_1754628809392] RECEIVED: Raw payload (321 bytes)
[2025-08-08T04:53:29.695Z] [ws_1754628809392] RECEIVED: Raw payload (4230 bytes)
[2025-08-08T04:53:30.538Z] [ws_1754628809392] RECEIVED: Raw payload (2364 bytes)
[2025-08-08T04:53:30.540Z] [ws_1754628809392] SENT: Raw payload (191 bytes)
[2025-08-08T04:53:45.542Z] [ws_1754628809392] SENT: Raw payload (43 bytes)
[2025-08-08T04:54:00.553Z] [ws_1754628809392] SENT: Raw payload (43 bytes)
[2025-08-08T04:54:15.573Z] [ws_1754628809392] SENT: Raw payload (43 bytes)
[2025-08-08T04:54:30.510Z] [ws_1754628809392] RECEIVED: Raw payload (29 bytes)
[2025-08-08T04:54:30.594Z] [ws_1754628809392] SENT: Raw payload (44 bytes)
[2025-08-08T04:54:45.609Z] [ws_1754628809392] SENT: Raw payload (44 bytes)
[2025-08-08T04:55:00.616Z] [ws_1754628809392] SENT: Raw payload (44 bytes)
[2025-08-08T04:55:15.634Z] [ws_1754628809392] SENT: Raw payload (44 bytes)
