[2025-08-08T04:53:29.406Z] [ws_1754628809405] WEBSOCKET: Connection created to wss://widget-mediator.zopim.com/s/W/ws/n9GCSNG3lRnmM5PO/c/1754628809403
[2025-08-08T04:53:29.712Z] [ws_1754628809405] SENT: Raw payload (545 bytes)
[2025-08-08T04:53:29.713Z] [ws_1754628809405] RECEIVED: Raw payload (30 bytes)
[2025-08-08T04:53:29.766Z] [ws_1754628809405] RECEIVED: Raw payload (1564 bytes)
[2025-08-08T04:53:29.813Z] [ws_1754628809405] RECEIVED: Raw payload (2988 bytes)
[2025-08-08T04:53:30.579Z] [ws_1754628809405] RECEIVED: Raw payload (2364 bytes)
[2025-08-08T04:53:30.581Z] [ws_1754628809405] SENT: Raw payload (192 bytes)
[2025-08-08T04:53:45.588Z] [ws_1754628809405] SENT: Raw payload (44 bytes)
[2025-08-08T04:54:00.600Z] [ws_1754628809405] SENT: Raw payload (44 bytes)
[2025-08-08T04:54:15.621Z] [ws_1754628809405] SENT: Raw payload (44 bytes)
[2025-08-08T04:54:30.552Z] [ws_1754628809405] RECEIVED: Raw payload (29 bytes)
[2025-08-08T04:54:30.640Z] [ws_1754628809405] SENT: Raw payload (44 bytes)
[2025-08-08T04:54:45.656Z] [ws_1754628809405] SENT: Raw payload (44 bytes)
[2025-08-08T04:55:00.664Z] [ws_1754628809405] SENT: Raw payload (44 bytes)
[2025-08-08T04:55:15.680Z] [ws_1754628809405] SENT: Raw payload (44 bytes)
